"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2008,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,38 ,108 ,134 ,203 ,242 ,212 ,182 ,151 ,43 ,"1,313 "
Männer,25 ,77 ,91 ,153 ,164 ,130 ,108 ,91 ,22 ,861 
Frauen,13 ,31 ,43 ,50 ,78 ,82 ,74 ,60 ,21 ,452 
,,,,,,,,,,
Vergiftung,4 ,10 ,26 ,41 ,65 ,82 ,61 ,77 ,29 ,395 
Männer,1 ,5 ,14 ,29 ,30 ,38 ,28 ,32 ,10 ,187 
Frauen,3 ,5 ,12 ,12 ,35 ,44 ,33 ,45 ,19 ,208 
,,,,,,,,,,
Erhängen,9 ,32 ,38 ,65 ,63 ,38 ,30 ,23 ,4 ,302 
Männer,6 ,22 ,30 ,54 ,55 ,33 ,19 ,19 ,4 ,242 
Frauen,3 ,10 ,8 ,11 ,8 ,5 ,11 ,4 ,- ,60 
,,,,,,,,,,
Schusswaffen,5 ,30 ,16 ,33 ,46 ,39 ,37 ,29 ,4 ,239 
Männer,4 ,29 ,15 ,32 ,44 ,38 ,36 ,29 ,4 ,231 
Frauen,1 ,1 ,1 ,1 ,2 ,1 ,1 ,- ,- ,8 
,,,,,,,,,,
Übrige Suizidmethoden,20 ,36 ,54 ,64 ,68 ,53 ,54 ,22 ,6 ,377 
Männer,14 ,21 ,32 ,38 ,35 ,21 ,25 ,11 ,4 ,201 
Frauen,6 ,15 ,22 ,26 ,33 ,32 ,29 ,11 ,2 ,176 
,,,,,,,,,,
Alle Todesursachen,561 ,410 ,658 ,"1,674 ","3,547 ","7,080 ","12,298 ","22,453 ","12,552 ","61,233 "
Männer,339 ,292 ,424 ,"1,075 ","2,239 ","4,469 ","7,039 ","9,968 ","3,629 ","29,474 "
Frauen,222 ,118 ,234 ,599 ,"1,308 ","2,611 ","5,259 ","12,485 ","8,923 ","31,759 "
,,,,,,,,,,
,,,,,,,,,,
Stand der Daten: 8.12.2010 ,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 032 713 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
