"Suizidmethoden, nach Altersgruppen und Geschlecht",,,,,,,,,,T 14.03.04.01.11
2018,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
  ,Altersgruppe,,,,,,,,,Total
,,,,,,,,,,
 ,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 +,
,,,,,,,,,,
Anzahl Suizide insgesamt,41 ,102 ,108 ,133 ,218 ,125 ,150 ,95 ,30 ,"1,002 "
Männer,33 ,71 ,79 ,97 ,140 ,83 ,113 ,72 ,24 ,712 
Frauen,8 ,31 ,29 ,36 ,78 ,42 ,37 ,23 ,6 ,290 
,,,,,,,,,,
Vergiftung 1),5 ,11 ,19 ,23 ,31 ,10 ,23 ,7 ,4 ,133 
Männer,5 ,7 ,10 ,14 ,16 ,5 ,13 ,2 ,2 ,74 
Frauen,- ,4 ,9 ,9 ,15 ,5 ,10 ,5 ,2 ,59 
,,,,,,,,,,
Erhängen,8 ,39 ,34 ,51 ,64 ,34 ,42 ,15 ,3 ,290 
Männer,7 ,26 ,25 ,40 ,46 ,21 ,38 ,11 ,2 ,216 
Frauen,1 ,13 ,9 ,11 ,18 ,13 ,4 ,4 ,1 ,74 
,,,,,,,,,,
Schusswaffen,2 ,14 ,14 ,16 ,29 ,32 ,31 ,34 ,11 ,183 
Männer,1 ,12 ,14 ,16 ,27 ,31 ,30 ,34 ,10 ,175 
Frauen,1 ,2 ,- ,- ,2 ,1 ,1 ,- ,1 ,8 
,,,,,,,,,,
Übrige Suizidmethoden,26 ,38 ,41 ,43 ,94 ,49 ,54 ,39 ,12 ,396 
Männer,20 ,26 ,30 ,27 ,51 ,26 ,32 ,25 ,10 ,247 
Frauen,6 ,12 ,11 ,16 ,43 ,23 ,22 ,14 ,2 ,149 
,,,,,,,,,,
Alle Todesursachen,520 ,327 ,515 ,"1,305 ","3,556 ","6,912 ","13,213 ","23,964 ","16,776 ","67,088 "
Männer,291 ,232 ,344 ,814 ,"2,179 ","4,281 ","7,694 ","11,165 ","5,398 ","32,398 "
Frauen,229 ,95 ,171 ,491 ,"1,377 ","2,631 ","5,519 ","12,799 ","11,378 ","34,690 "
,,,,,,,,,,
Stand der Daten: 14.12.2020,,,,,,,,,,
1) Ab 2009 ohne assistierten Suizid,,,,,,,,,,
,,,,,,,,,,
"Bundesamt für Statistik, Statistik der Todesursachen",,,,,,,,,,
"Auskunft: Informationsdienst Gesundheit, 058 463 67 00, gesundheit@bfs.admin.ch",,,,,,,,,,
© BFS - Statistisches Lexikon der Schweiz,,,,,,,,,,
